claseProfesorAlumnoIdAlumno;auton1;condeval1;conprevio1;pasoapaso1;particip1;dedica1;clarorg1;equidad1;conprevio2;errorpos1;elogio1;dedica2;conecta1;ejemplos1;elogio2;mensapren1;condeval2;clarobj1;clarorg2;ejemplos2;errorpos2;ritmorel1;mensapren2;equidad2;novedad1;conecta2;ritmorel2;clarobj2;auton2;particip2;pasoapaso2;novedad2;CDC1;CDC2;CDC3;CDC4;CDC5;CDC6;CDC7;CDC8;CDC9;CDC10;CDC11;CDC12;CDC13;CDC14;CDC15;MOT01APR;MOT02RES;MOT03EVIT;MOT04RES;MOT05EVIT;MOT06APR;MOT07EVIT;MOT08APR;MOT09RES;CEM01;CEM02;CEM03;CEM04;CEM05;CEM06;CEM07;CEM08;CEM09;CEM10;CEM11;CEM12;CEM13;CEM14;CEM15;CEM16;EXP01CG;EXP02CC;EXP03HM;EXP04CE;EXP05HS;EXP06HC;EXP07CM;EXP08HE;EXP09CS;EXP10HG;CV01;CV02;CV03;CV04;CV05;CV06;CV07;CV08;CV09;CV10;CV11;CV12;CV13;CV14;CV15;CV16;CV17;CV18;CV19;CV20;CV21;CV22;CV23;CV24;CV25;CV26;CV27;CV28;CV29;CV30;CV31;CV32;CV33;CV34;CV35;CV36;CV37;CV38;CV39;CV40;CV41;CV42;CV43;CV44;CV45;CV46;CV47;CV48;INTSOCN1;INTSOCP1;INTSOCN2;INTSOCP2;INTSOCN3;INTSOCP3;INTSOCN4;INTSOCP4;INTSOCN5;INTSOCP5;INTSOCN6;INTSOCP6;P_COSTO1;C_COMPET1;P_COSTO2;C_COMPET2;P_COSTO3;C_COMPET3;expresult1;interes1;habilper1;satisfapren1;esfuerzo1;expresult2;interes2;satisfapren2;habilper2;esfuerzo2;expresult3;satisfapren3;habilper3;interes3;esfuerzo3;satisfapren4;CRITCDC1;CRITCDC2;CRITCEM1;CRITCDC3;CRITCDC4;CRITCEM2;CRITCDC5;CRITCDC6;CRITCEM3;CRITCDC7;CRITCDC8;CRITCEM4
301010104;4;3;3;3;1;3;3;3;3;1;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;5;4;5;2;1;2;1;3;1;3;1;1;3;5;5;5;5;1;5;5;5;5;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;5;5;3;5;5;5;5;5;5;5;0;0;0;0;0;0;3;3;4;4;4;0;0;0;0;0;0;0;3;3;4;4;1;0;0;0;0;0;0;0;3;4;1;4;4;0;0;1;3;0;0;3;4;0;0;4;4;0;1;3;5;5;1;5;5;5;1;5;5;5;0;0;0;0;0;0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;1;4;3;3;4;3;3;3;3;3;3;3
301010105;4;3;4;3;2;1;2;1;3;3;5;4;3;2;2;5;3;2;3;4;4;1;4;4;5;3;3;4;1;4;3;2;2;3;2;2;1;1;1;2;2;3;4;5;3;1;2;3;4;2;5;4;5;2;4;3;3;1;2;3;3;2;4;3;3;2;4;3;3;2;4;3;5;5;5;4;5;4;5;3;5;5;0;0;0;0;0;0;3;4;4;3;4;0;0;0;0;0;0;0;3;3;4;1;1;0;0;0;0;0;0;0;3;3;3;2;4;0;0;2;3;0;0;4;3;0;0;4;3;0;1;4;4;3;2;3;3;4;1;3;4;4;0;0;0;0;0;0;4;3;2;3;3;2;3;3;3;2;4;2;3;2;3;3;2;4;3;2;4;4;2;4;3;2;4;3
301010106;4;3;3;2;1;1;1;4;2;1;3;3;5;2;1;4;5;3;3;4;3;2;4;5;3;1;3;4;1;5;1;1;3;4;1;1;1;2;1;2;1;3;1;1;1;2;3;3;3;5;5;4;3;5;3;3;3;3;3;1;3;3;3;1;2;1;3;1;3;3;3;1;4;3;5;3;2;3;5;5;5;3;0;0;0;0;0;0;3;1;2;1;4;0;0;0;0;0;0;0;1;5;3;3;1;0;0;0;0;0;0;0;3;2;2;3;1;0;0;2;3;0;0;3;1;0;0;3;3;0;1;3;4;3;2;1;2;5;1;5;5;5;0;0;0;0;0;0;3;4;1;3;5;1;3;1;3;1;3;1;3;1;3;3;1;5;3;1;1;3;1;1;3;1;5;3
301010107;5;3;2;4;1;2;3;4;2;4;5;3;3;1;3;4;5;2;4;3;3;2;3;4;3;2;4;3;1;3;4;5;4;5;2;1;1;1;2;1;3;4;2;1;2;1;2;4;3;5;5;4;5;4;5;4;3;2;3;2;1;4;4;2;3;3;4;4;2;1;5;1;5;4;5;5;4;5;5;2;4;5;0;0;0;0;0;0;4;1;4;1;4;0;0;0;0;0;0;0;3;4;3;4;1;0;0;0;0;0;0;0;2;4;2;1;4;0;0;1;4;0;0;4;3;0;0;4;5;0;1;4;1;5;2;5;1;5;1;5;5;5;0;0;0;0;0;0;4;3;1;4;3;4;3;2;4;1;3;1;3;4;3;1;3;4;3;3;3;2;2;3;4;2;3;4
301010108;1;5;2;4;4;5;5;2;5;2;5;5;5;3;1;3;3;3;4;2;2;1;3;3;5;2;2;3;5;1;3;5;2;3;5;2;5;4;3;2;2;4;2;5;3;5;2;1;4;3;2;4;2;4;1;3;3;2;5;2;4;2;4;2;4;2;4;3;3;2;3;2;5;5;5;3;2;1;5;3;4;5;0;0;0;0;0;0;3;3;2;1;5;0;0;0;0;0;0;0;2;4;2;4;2;0;0;0;0;0;0;0;2;4;2;4;2;0;0;4;2;0;0;4;1;0;0;4;5;0;4;3;2;1;2;3;4;5;4;3;2;1;0;0;0;0;0;0;5;2;4;2;4;2;3;2;4;1;4;1;3;2;3;1;3;2;1;4;1;3;2;4;3;2;3;2
301010109;4;3;2;4;4;5;2;3;5;4;5;5;3;1;1;3;3;2;4;2;2;1;3;3;5;2;2;3;5;1;3;5;2;3;3;2;1;2;3;5;1;3;5;5;3;5;3;1;4;2;3;4;3;2;3;2;3;5;3;5;3;5;4;2;5;3;2;4;3;5;1;5;2;1;5;4;3;2;2;2;2;2;0;0;0;0;0;0;4;1;3;5;4;0;0;0;0;0;0;0;4;2;4;4;3;0;0;0;0;0;0;0;3;4;2;4;3;0;0;3;4;0;0;2;5;0;0;4;2;0;3;1;4;5;5;5;5;4;5;4;4;5;0;0;0;0;0;0;5;2;3;4;2;3;4;3;4;3;3;3;5;3;5;1;2;3;4;3;2;4;3;4;4;4;5;4
301010110;2;3;4;4;1;5;2;1;3;3;4;5;3;1;2;4;3;2;4;4;4;1;4;4;3;2;4;3;1;4;4;5;1;4;3;2;1;2;3;1;1;2;2;5;1;1;1;4;2;3;5;4;3;4;2;4;2;1;3;4;2;4;4;4;1;3;3;5;2;1;2;2;5;5;4;3;2;2;5;4;4;5;0;0;0;0;0;0;3;2;5;1;2;0;0;0;0;0;0;0;2;5;1;5;2;0;0;0;0;0;0;0;5;4;1;5;4;0;0;1;2;0;0;1;5;0;0;5;5;0;1;3;1;1;1;1;4;1;5;1;5;1;0;0;0;0;0;0;2;4;1;3;4;2;3;3;4;2;3;2;1;4;4;3;4;2;3;2;2;3;4;1;2;2;3;5
301010111;4;4;5;4;1;2;2;4;4;4;5;3;3;2;2;4;4;3;2;5;5;3;4;3;4;3;4;4;4;5;4;5;3;4;4;4;1;1;2;5;1;2;2;5;1;2;3;4;4;5;4;5;4;1;4;5;2;1;5;2;4;2;4;3;1;1;4;2;2;4;4;3;4;5;5;5;4;3;5;2;5;5;0;0;0;0;0;0;4;2;2;2;5;0;0;0;0;0;0;0;3;4;2;2;4;0;0;0;0;0;0;0;2;4;4;2;4;0;0;5;4;0;0;5;1;0;0;1;5;0;1;4;5;1;5;5;5;5;4;5;5;4;0;0;0;0;0;0;4;3;2;3;2;4;4;2;5;1;5;2;3;2;3;1;3;4;2;1;2;4;1;2;4;2;5;1
301010112;5;3;4;5;3;2;1;2;3;1;4;4;5;3;5;5;4;3;5;4;4;3;5;4;4;3;4;5;3;4;4;3;2;1;4;2;1;2;2;1;2;4;2;2;1;5;1;5;4;2;5;3;5;3;5;3;4;3;5;3;5;3;5;2;4;4;5;3;4;2;4;1;5;5;5;5;4;4;5;5;5;5;0;0;0;0;0;0;3;4;4;2;4;0;0;0;0;0;0;0;2;4;3;4;3;0;0;0;0;0;0;0;4;3;2;4;4;0;0;3;4;0;0;2;4;0;0;2;5;0;5;4;5;4;5;5;4;4;4;5;5;4;0;0;0;0;0;0;4;5;3;5;4;3;5;3;5;4;5;3;5;3;5;4;3;4;5;1;2;4;1;3;5;3;2;5
301010113;3;2;5;3;1;1;2;1;5;2;4;5;3;4;1;4;2;4;2;1;1;5;4;5;4;3;4;4;5;4;5;1;5;5;5;2;1;1;3;4;4;1;3;1;4;3;3;4;3;5;3;2;1;4;2;4;5;5;5;3;5;5;5;5;1;5;5;5;5;5;5;1;5;5;3;5;4;5;4;5;5;5;0;0;0;0;0;0;1;5;1;5;1;0;0;0;0;0;0;0;1;1;5;4;2;0;0;0;0;0;0;0;5;5;3;4;5;0;0;4;5;0;0;5;5;0;0;3;4;0;1;5;4;4;2;4;5;3;4;2;3;5;0;0;0;0;0;0;5;3;4;3;4;5;3;3;2;1;4;2;5;2;5;2;4;2;4;5;3;4;5;2;1;4;2;5
301010114;5;1;4;5;1;1;2;3;1;1;5;4;4;1;1;5;3;2;4;4;4;1;4;5;4;1;5;5;1;5;1;1;2;2;2;2;1;1;1;1;1;2;2;5;1;1;2;4;4;2;4;2;4;2;4;4;4;1;2;1;4;2;5;3;3;1;4;1;3;4;3;4;4;4;5;5;5;4;5;5;5;5;0;0;0;0;0;0;4;5;4;3;4;0;0;0;0;0;0;0;4;4;2;1;4;0;0;0;0;0;0;0;4;4;2;3;1;0;0;1;3;0;0;5;3;0;0;4;3;0;4;3;5;3;4;3;4;4;3;5;5;3;0;0;0;0;0;0;4;4;3;4;4;2;4;2;4;2;4;2;4;2;4;4;2;2;4;2;4;4;2;4;4;2;4;4
301010115;4;5;4;5;2;5;2;2;5;3;3;5;1;3;1;1;1;3;1;1;1;3;1;1;2;5;2;3;2;1;3;3;2;2;1;1;1;1;2;1;2;4;3;3;1;3;3;3;2;3;3;2;5;1;3;5;3;3;3;3;3;3;3;3;4;1;1;1;2;2;2;4;3;3;4;3;2;3;5;3;3;3;0;0;0;0;0;0;2;5;3;3;2;0;0;0;0;0;0;0;2;3;3;3;3;0;0;0;0;0;0;0;3;5;5;1;4;0;0;3;2;0;0;3;5;0;0;3;3;0;3;3;5;3;3;2;4;3;3;1;3;1;0;0;0;0;0;0;1;3;3;3;4;3;3;3;2;2;1;3;3;2;3;3;2;3;2;3;3;3;3;4;3;3;3;2
301010116;4;3;4;4;2;1;2;2;1;2;5;3;3;2;1;4;3;1;4;5;4;2;5;3;5;3;4;4;2;3;4;1;1;4;3;4;5;5;1;1;1;3;1;2;1;2;1;4;4;2;5;4;4;2;4;4;4;2;4;1;5;3;5;3;4;3;4;3;4;3;4;3;4;5;4;4;5;4;5;4;5;4;0;0;0;0;0;0;3;4;4;2;3;0;0;0;0;0;0;0;4;4;4;3;3;0;0;0;0;0;0;0;3;2;4;3;3;0;0;3;4;0;0;3;4;0;0;3;4;0;2;4;2;4;2;4;2;3;4;3;2;3;0;0;0;0;0;0;4;3;2;4;5;3;3;2;4;2;3;1;4;1;4;2;2;4;4;2;4;5;2;4;4;2;4;5
301010117;4;1;5;3;1;2;2;1;2;1;3;4;3;1;2;3;3;2;3;2;4;3;4;2;3;3;3;3;2;4;2;3;2;2;1;2;1;1;1;2;1;2;2;2;1;1;1;4;5;3;4;3;4;2;3;4;2;2;4;2;3;4;3;2;4;3;2;3;3;2;3;3;5;4;3;4;3;4;3;2;3;4;0;0;0;0;0;0;1;2;2;3;1;0;0;0;0;0;0;0;1;2;3;1;3;0;0;0;0;0;0;0;2;1;1;4;2;0;0;2;2;0;0;3;2;0;0;3;3;0;1;4;1;2;1;4;1;4;1;3;1;4;0;0;0;0;0;0;5;4;1;4;4;1;3;3;4;2;5;2;4;1;4;2;5;3;3;2;3;2;2;3;4;2;3;3
301010118;3;3;2;4;2;4;4;5;1;3;2;2;2;3;4;3;2;3;4;3;4;2;4;5;5;2;4;4;2;4;4;2;2;1;2;2;1;1;1;3;2;3;4;2;4;2;2;4;4;2;4;4;5;4;4;5;1;2;1;3;2;1;2;1;3;2;5;1;2;1;2;1;5;3;5;4;3;5;5;3;3;4;0;0;0;0;0;0;4;4;4;1;3;0;0;0;0;0;0;0;4;3;4;2;2;0;0;0;0;0;0;0;4;4;3;4;2;0;0;2;4;0;0;3;3;0;0;5;4;0;2;5;1;3;1;4;3;4;1;4;1;3;0;0;0;0;0;0;2;3;3;4;4;3;4;3;4;3;2;4;3;3;4;3;2;4;3;4;3;4;2;3;2;3;2;4
301010119;5;1;5;5;1;2;3;5;3;3;5;5;5;3;5;5;5;3;5;5;5;2;5;5;5;5;4;4;2;5;2;2;1;4;3;1;5;5;1;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;1;5;1;5;1;5;1;5;1;5;1;5;1;5;5;5;5;2;5;5;2;5;5;5;5;0;0;0;0;0;0;5;5;5;5;5;0;0;0;0;0;0;0;1;1;5;5;5;0;0;0;0;0;0;0;2;5;5;5;2;0;0;2;5;0;0;5;5;0;0;5;5;0;5;5;5;5;2;5;5;5;2;5;5;5;0;0;0;0;0;0;5;5;2;5;5;2;5;2;5;2;5;2;5;2;5;5;2;5;5;2;5;5;2;2;5;2;5;5
301010201;2;3;5;3;5;3;3;3;2;1;5;3;5;3;3;4;3;5;5;1;3;3;5;5;3;3;2;5;1;3;3;5;1;5;1;2;2;1;2;1;1;3;5;5;1;1;2;3;5;1;5;1;5;1;5;3;3;3;1;3;1;1;3;3;1;3;1;3;1;3;1;3;5;5;4;3;1;3;5;1;3;3;0;0;0;0;0;0;3;1;5;1;5;0;0;0;0;0;0;0;1;3;5;3;5;0;0;0;0;0;0;0;3;3;5;3;1;0;0;1;5;0;0;5;5;0;0;3;5;0;3;5;5;5;1;3;3;3;1;5;5;5;0;0;0;0;0;0;1;1;3;3;1;1;3;2;3;3;3;5;1;5;1;1;3;3;1;3;3;1;3;3;1;3;1;1
301010202;4;2;5;4;5;2;3;1;2;2;5;1;5;2;5;5;5;1;5;1;5;1;5;5;3;2;4;2;5;5;5;5;2;5;1;1;1;1;1;2;2;4;3;5;1;1;2;5;5;5;5;4;5;5;5;5;4;2;2;1;1;3;5;3;2;2;2;2;3;2;5;5;5;5;5;3;1;1;5;1;5;5;0;0;0;0;0;0;2;4;4;5;5;0;0;0;0;0;0;0;2;2;2;1;4;0;0;0;0;0;0;0;4;4;1;5;4;0;0;4;5;0;0;1;5;0;0;1;1;0;1;2;5;5;4;3;5;5;5;5;5;5;0;0;0;0;0;0;5;4;2;4;4;3;3;4;5;1;5;4;5;2;5;1;2;5;1;1;2;1;1;1;1;4;4;4
301010203;5;1;3;5;1;5;1;1;1;1;4;4;4;3;2;4;5;3;3;1;4;2;5;4;5;1;4;5;1;5;2;3;5;5;1;4;4;1;1;1;4;4;4;3;2;1;4;4;4;2;5;2;4;2;5;2;4;4;1;1;3;4;3;3;4;2;2;1;4;3;3;2;5;5;5;5;3;4;5;5;5;4;0;0;0;0;0;0;3;4;4;4;3;0;0;0;0;0;0;0;2;3;2;2;2;0;0;0;0;0;0;0;5;5;2;2;2;0;0;1;5;0;0;5;3;0;0;5;5;0;1;5;2;2;2;4;1;4;1;3;5;5;0;0;0;0;0;0;5;4;2;3;5;5;3;2;4;2;5;2;4;2;4;4;2;4;1;1;4;3;2;5;2;2;4;1
301010204;5;1;1;1;3;1;4;2;5;5;3;3;4;5;3;4;4;3;5;3;2;5;5;1;5;2;1;3;1;3;2;3;2;2;4;5;5;1;2;2;2;1;1;3;1;1;2;3;2;4;2;3;3;3;2;4;1;3;1;2;3;3;4;1;5;1;3;4;4;2;1;2;5;3;3;5;3;3;2;4;2;3;0;0;0;0;0;0;1;3;1;1;3;0;0;0;0;0;0;0;3;1;2;3;3;0;0;0;0;0;0;0;3;3;3;3;1;0;0;3;3;0;0;3;5;0;0;4;4;0;4;3;1;5;4;3;4;3;3;3;4;3;0;0;0;0;0;0;2;3;3;2;4;3;4;3;2;3;4;2;3;2;5;4;3;4;3;3;3;4;1;3;2;5;4;2
301010205;5;3;5;4;3;3;1;5;2;4;5;4;5;2;4;5;3;2;4;5;4;5;3;4;5;3;2;5;1;5;1;5;1;4;3;2;2;1;1;1;1;5;5;2;1;1;4;5;4;1;5;1;4;5;4;4;4;2;1;3;5;1;5;1;1;1;4;5;4;1;4;3;4;4;3;5;4;5;4;5;4;5;0;0;0;0;0;0;3;1;4;1;5;0;0;0;0;0;0;0;4;3;3;5;4;0;0;0;0;0;0;0;5;2;5;5;4;0;0;1;5;0;0;4;3;0;0;4;3;0;3;5;2;4;3;5;2;5;2;4;5;5;0;0;0;0;0;0;3;3;1;5;4;2;5;1;4;5;5;3;4;1;4;5;1;3;1;2;2;4;1;3;2;5;4;2
301010206;3;1;3;2;1;2;3;1;3;3;5;3;4;1;4;4;1;3;4;2;3;3;3;5;4;3;3;4;2;4;4;3;1;4;1;2;1;1;1;2;3;3;2;2;3;1;4;4;4;2;4;4;4;2;4;3;4;3;2;2;3;3;3;2;4;3;4;3;3;2;3;2;4;3;5;3;3;3;5;2;5;5;0;0;0;0;0;0;2;2;3;3;4;0;0;0;0;0;0;0;2;2;3;1;2;0;0;0;0;0;0;0;2;3;2;3;2;0;0;1;4;0;0;5;3;0;0;5;3;0;2;4;1;5;2;3;2;4;1;3;5;4;0;0;0;0;0;0;4;3;1;3;3;2;3;2;3;2;3;2;4;3;4;4;3;3;2;3;3;2;3;3;4;3;3;3
301010207;3;4;3;3;4;4;3;2;3;2;5;4;3;3;4;5;4;3;5;4;3;3;5;5;4;3;5;3;2;4;3;2;4;5;2;1;1;1;1;4;1;3;4;4;1;1;2;4;3;2;4;3;4;3;3;2;4;3;3;2;3;2;4;3;2;3;3;4;2;3;4;4;4;4;5;5;3;3;5;5;3;5;0;0;0;0;0;0;3;3;4;2;3;0;0;0;0;0;0;0;3;3;2;4;4;0;0;0;0;0;0;0;3;3;4;3;4;0;0;2;2;0;0;2;3;0;0;4;4;0;3;4;4;4;2;4;4;5;2;4;5;3;0;0;0;0;0;0;4;4;3;4;3;2;4;3;4;3;3;3;4;3;4;3;4;4;3;3;3;4;2;4;4;3;3;2
301010208;5;3;5;4;3;5;4;1;2;5;5;3;5;4;4;5;5;4;5;3;4;1;5;4;3;1;1;3;3;5;3;1;2;5;2;5;1;1;1;2;1;4;4;4;1;1;4;3;3;3;5;4;5;3;5;5;1;2;3;2;1;2;3;4;1;2;3;1;2;1;3;2;4;4;3;4;3;3;4;3;4;5;0;0;0;0;0;0;3;3;4;3;3;0;0;0;0;0;0;0;3;2;3;3;4;0;0;0;0;0;0;0;3;3;2;4;3;0;0;1;3;0;0;3;5;0;0;5;5;0;1;5;4;4;3;4;1;4;1;5;1;5;0;0;0;0;0;0;2;3;1;4;3;1;4;2;4;1;4;3;3;1;3;4;5;3;3;3;1;2;3;4;1;5;3;2
301010209;5;3;5;5;1;3;1;3;4;5;3;5;5;1;1;5;5;3;5;5;5;1;5;5;4;3;3;5;1;3;5;1;2;5;1;1;1;1;1;2;5;2;3;3;2;1;2;3;3;4;4;3;4;3;5;3;5;2;5;1;5;2;5;2;4;1;4;1;5;2;4;1;3;4;2;4;3;2;3;3;3;4;0;0;0;0;0;0;4;1;5;3;2;0;0;0;0;0;0;0;4;5;4;3;4;0;0;0;0;0;0;0;4;3;5;1;2;0;0;1;2;0;0;2;3;0;0;3;4;0;1;5;5;4;1;1;1;3;1;5;3;5;0;0;0;0;0;0;5;5;3;4;4;1;5;2;5;1;5;1;4;1;5;3;3;3;4;2;3;3;2;3;3;3;4;3
301010210;3;2;4;3;1;3;3;4;2;2;3;3;4;3;3;4;5;3;3;1;3;2;4;2;3;3;4;5;3;3;3;3;2;3;3;1;1;1;1;1;3;2;1;2;2;1;2;3;4;4;4;5;3;3;3;4;3;2;3;2;3;3;3;2;3;2;1;3;4;2;3;1;4;4;5;4;3;1;5;3;4;5;0;0;0;0;0;0;1;2;3;4;4;0;0;0;0;0;0;0;2;3;3;1;3;0;0;0;0;0;0;0;1;3;3;3;2;0;0;1;3;0;0;4;3;0;0;4;3;0;1;4;1;4;1;3;2;3;1;4;5;5;0;0;0;0;0;0;5;4;3;3;3;2;3;2;3;1;4;3;4;3;3;5;2;3;3;2;3;3;2;3;2;2;3;2
301010301;4;1;5;5;1;1;1;1;1;1;4;5;4;1;1;5;3;1;5;5;5;1;5;5;5;3;5;5;1;5;1;1;1;2;1;1;1;2;1;1;1;2;2;5;1;3;5;3;5;2;5;1;4;2;5;3;2;1;5;4;2;3;1;5;3;1;4;2;5;1;4;5;3;4;2;1;5;2;4;2;5;2;0;0;0;0;0;0;1;5;2;4;1;0;0;0;0;0;0;0;4;2;3;5;1;0;0;0;0;0;0;0;3;4;2;5;5;0;0;5;1;0;0;3;2;0;0;1;3;0;4;2;5;3;1;4;2;5;3;5;2;4;0;0;0;0;0;0;2;3;2;5;4;2;4;3;1;4;4;4;2;5;1;5;3;2;4;5;3;2;5;3;1;5;3;4
301010302;4;1;5;5;1;1;1;1;1;1;5;5;1;1;1;5;5;1;5;5;5;1;5;5;5;3;5;5;1;5;1;1;1;2;1;1;1;2;1;1;1;2;2;5;1;5;5;1;4;3;2;5;3;4;2;4;5;1;5;1;5;1;5;1;5;1;5;5;1;1;5;1;2;4;2;5;2;4;5;3;2;5;0;0;0;0;0;0;5;4;5;4;5;0;0;0;0;0;0;0;4;4;4;4;2;0;0;0;0;0;0;0;4;5;4;5;1;0;0;1;5;0;0;3;5;0;0;5;5;0;1;5;1;4;1;5;1;5;1;3;1;5;0;0;0;0;0;0;1;5;4;2;4;3;2;4;2;5;1;4;5;2;4;2;4;1;5;2;5;3;2;4;2;4;2;5
301010303;5;1;5;5;1;1;1;1;1;2;5;5;2;2;2;5;2;1;5;5;5;1;5;5;5;5;5;4;2;5;5;2;1;2;3;3;2;4;2;2;2;2;2;2;2;4;4;2;4;1;3;3;4;5;4;3;5;2;3;2;5;2;5;2;5;2;3;2;5;2;5;2;1;2;3;2;3;4;3;4;3;4;0;0;0;0;0;0;2;2;5;2;5;0;0;0;0;0;0;0;5;3;4;2;4;0;0;0;0;0;0;0;5;4;2;4;5;0;0;3;4;0;0;5;4;0;0;2;5;0;5;3;5;2;5;2;5;3;5;2;4;2;0;0;0;0;0;0;3;3;5;3;3;5;3;5;3;4;5;4;4;3;4;5;5;5;5;3;1;2;3;2;2;3;3;2
301010304;5;1;4;5;1;1;1;2;1;2;5;4;5;3;1;4;4;2;5;4;5;1;4;4;4;3;5;4;2;5;3;3;1;4;4;2;1;3;1;1;1;5;2;4;1;1;4;4;4;5;4;4;4;2;4;3;3;2;2;2;5;4;4;2;4;3;4;3;4;2;4;2;4;3;4;4;2;4;4;3;3;2;0;0;0;0;0;0;4;4;4;4;4;0;0;0;0;0;0;0;4;2;2;3;2;0;0;0;0;0;0;0;4;2;2;5;2;0;0;2;3;0;0;3;2;0;0;2;4;0;2;4;4;2;2;4;2;4;4;3;4;2;0;0;0;0;0;0;2;4;2;4;3;2;4;3;2;4;3;4;4;2;3;4;2;3;4;2;4;5;2;4;5;2;4;2
301010305;5;4;5;5;4;1;1;1;1;1;5;5;3;1;1;5;5;1;5;4;5;1;5;1;5;1;5;5;1;5;5;2;2;5;5;5;1;3;1;1;2;4;5;5;5;5;1;5;4;1;1;5;5;4;5;5;1;5;5;1;5;1;5;1;5;2;5;1;1;1;5;1;5;5;4;5;1;5;1;5;3;5;0;0;0;0;0;0;5;5;5;5;5;0;0;0;0;0;0;0;5;5;4;1;4;0;0;0;0;0;0;0;5;2;3;1;5;0;0;5;2;0;0;5;5;0;0;4;2;0;4;3;2;4;5;5;5;4;1;2;4;5;0;0;0;0;0;0;4;4;5;5;1;4;5;4;5;5;5;5;4;1;2;1;5;5;5;4;5;5;4;1;1;5;5;5
301010306;5;3;5;5;3;1;1;1;1;1;5;5;1;1;1;5;1;1;5;5;5;1;5;3;5;3;4;4;1;5;3;3;2;5;4;3;5;1;1;1;5;5;5;5;3;3;5;3;5;5;5;5;3;3;3;3;5;1;5;1;5;1;5;1;5;5;5;3;5;5;5;1;5;3;3;1;1;1;3;3;3;3;0;0;0;0;0;0;3;3;3;3;3;0;0;0;0;0;0;0;3;2;1;5;3;0;0;0;0;0;0;0;1;5;4;4;3;0;0;3;4;0;0;4;3;0;0;3;1;0;1;3;3;3;3;1;1;1;1;3;3;3;0;0;0;0;0;0;3;3;3;5;5;5;3;3;2;2;2;3;3;3;3;1;1;1;3;5;3;4;4;2;2;2;3;3
301010307;5;1;4;2;1;1;2;1;1;1;5;5;4;2;3;5;2;1;5;4;4;3;5;5;4;2;2;5;1;5;3;2;2;4;5;4;1;2;2;1;3;4;4;5;4;4;5;1;5;1;5;5;5;1;5;5;4;1;4;2;4;1;4;1;5;2;5;2;5;1;5;1;1;5;5;1;5;5;1;1;5;5;0;0;0;0;0;0;4;1;5;1;5;0;0;0;0;0;0;0;1;5;5;1;5;0;0;0;0;0;0;0;5;1;5;1;5;0;0;5;1;0;0;1;1;0;0;5;5;0;5;5;1;5;1;5;1;5;1;5;5;5;0;0;0;0;0;0;1;5;1;5;5;5;1;5;5;5;1;1;5;1;5;1;5;1;5;5;1;5;1;5;5;5;5;5
301010308;5;1;5;3;1;1;2;2;1;2;5;5;5;2;2;5;5;4;2;5;2;3;4;4;5;2;4;4;2;4;5;2;2;5;1;1;2;1;1;1;1;3;2;3;1;1;1;1;2;3;4;5;4;2;1;3;2;2;1;1;1;2;2;1;2;5;1;2;1;1;1;2;1;3;2;3;3;2;3;1;3;1;0;0;0;0;0;0;2;4;2;2;4;0;0;0;0;0;0;0;2;3;4;5;3;0;0;0;0;0;0;0;4;2;2;4;4;0;0;1;1;0;0;2;4;0;0;2;2;0;1;3;4;2;3;3;2;3;4;3;2;4;0;0;0;0;0;0;2;3;5;2;1;1;3;3;2;3;4;3;1;1;1;1;1;4;4;4;3;3;3;3;3;4;1;4
301010309;5;5;5;5;4;4;5;1;1;1;5;5;5;1;1;5;5;1;5;5;1;1;5;5;5;1;1;5;1;5;5;1;1;2;1;2;1;1;1;1;1;5;5;5;2;1;5;1;5;5;5;5;5;5;5;5;4;5;5;1;3;5;5;5;5;5;5;1;5;5;5;1;5;5;5;5;5;5;5;5;5;5;0;0;0;0;0;0;1;2;5;2;2;0;0;0;0;0;0;0;5;5;1;1;5;0;0;0;0;0;0;0;5;1;1;5;5;0;0;5;1;0;0;5;1;0;0;2;5;0;5;5;1;5;2;5;2;5;1;5;2;5;0;0;0;0;0;0;5;5;1;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;1;1;3;4;5;5;5;5;5;5
301010310;4;3;5;5;3;4;2;3;4;3;4;4;4;3;2;3;5;2;5;5;5;2;3;2;5;2;5;2;5;2;5;2;1;5;2;2;1;5;1;1;1;1;5;3;5;1;1;1;2;3;4;5;4;3;2;1;5;3;1;1;5;3;5;5;1;1;5;1;3;5;5;5;1;2;3;4;5;4;3;2;1;2;0;0;0;0;0;0;5;2;5;2;5;0;0;0;0;0;0;0;5;1;5;1;5;0;0;0;0;0;0;0;5;2;5;2;5;0;0;3;1;0;0;2;5;0;0;1;2;0;4;5;5;1;2;5;1;5;1;2;3;4;0;0;0;0;0;0;2;1;2;3;4;5;1;2;2;3;3;5;3;4;3;2;1;3;1;5;5;3;4;3;2;1;2;3
